时间序号,归一化流量,归一化液位,归一化设备性能,归一化温度,设备前端可能的影响因素1,设备前端可能的影响因素2,设备前端可能的影响因素3
30,0.527400543,0.879597367,0.26293488,0.473588495,0.976162098,0.263157895,0.866978837
31,0.540182138,0.87224158,0.263009218,0.460592282,0.978943186,0.241820768,0.884692664
32,0.514938489,0.86630533,0.262786262,0.453042133,0.982518872,0.241820768,0.900066894
33,0.525643074,0.873919215,0.264049955,0.444749187,0.98768375,0.263157895,0.86497325
34,0.531075252,0.885920764,0.265759798,0.434104455,0.989272944,0.213371266,0.910093605
35,0.526601694,0.883597884,0.265388106,0.43200037,0.971394517,0.220483642,0.909090965
36,0.531874101,0.886178862,0.266280107,0.44425409,0.958283671,0.312944523,0.884358348
37,0.528678703,0.870563944,0.263306572,0.471731806,0.947159317,0.199146515,0.901738165
38,0.003994248,0.894308943,0.300624496,0.507502467,0.941994438,0.170697013,0.914438789
39,0.005112638,0.900245193,0.301813892,0.550575881,0.937226857,0.120910384,1
40,0.529797092,0.865660085,0.260853464,0.59513489,0.934843067,0.106685633,0.946858521
41,0.538744208,0.877532585,0.263455308,0.633257337,0.933651172,0.106685633,0.934826222
42,0.521489056,0.887727449,0.265090693,0.595382286,0.688915375,0.156472262,0.922125904
43,0.53570858,0.895470383,0.267841213,0.598229169,0.647993643,0.199146515,0.891042823
44,0.532353411,0.862562911,0.262117157,0.600333253,0.599523242,0.192034139,0.893048104
45,0.509985621,0.862562911,0.262563188,0.600456951,0.609853,0.199146515,0.901069534
46,0.518772967,0.927216415,0.272673191,0.598352867,0.573301549,0.291607397,0.817179289
47,0.51190286,0.860756227,0.262265834,0.592906803,0.601509734,0.263157895,0.87901083
48,0.019971241,0.863337205,0.29556945,0.59216431,0.568136671,0.27027027,0.878676514
49,0.02220802,0.893147503,0.300847458,0.590183923,0.564163687,0.33428165,0.864304925
50,0.537625819,0.884243128,0.263678263,0.584985255,0.58283671,0.27027027,0.868315487
51,0.523086755,0.863337205,0.261448112,0.580157986,0.563766389,0.263157895,0.864639241
52,0.53395111,0.896889921,0.268064228,0.575330717,0.584028605,0.248933144,0.867647162
53,0.531714331,0.878306878,0.26427303,0.570627451,0.567342074,0.248933144,0.843917186
54,0.514938489,0.861659569,0.261745465,0.567285472,0.594358363,0.213371266,0.859960047
55,0.525323534,0.900245193,0.268138567,0.564191193,0.589590783,0.184921764,0.876336918
56,0.518932737,0.915731062,0.271112102,0.561592012,0.581247517,0.20625889,0.823195132
57,0.516056878,0.86036908,0.261819804,0.559364229,0.597139452,0.163584637,0.857286135
58,0.004793098,0.90889147,0.303523622,0.558497733,0.58283671,0.163584637,0.841243274
59,0.003674708,0.922699703,0.306125465,0.557012139,0.576082638,0.234708393,0.740641843
60,0.543537306,0.911730546,0.268064228,0.55540315,0.577671832,0.106685633,0.806818262
61,0.543697076,0.925925926,0.271335177,0.556393649,0.578466428,0.06401138,0.813168421
62,0.532193641,0.896244677,0.266651799,0.559859021,0.579261025,0.078236131,0.965574988
63,0.514299409,0.879597367,0.265090693,0.566047882,0.593166468,0.078236131,0.810828824
64,0.529797092,0.888243644,0.266428843,0.568647064,0.592371871,0.06401138,0.823863763
65,0.53586835,0.912633888,0.270220101,0.57545472,0.573698848,0.071123755,0.816844973
66,0.5106247,0.895470383,0.267246566,0.578053901,0.577671832,0.092460882,0.785093567
67,0.536347659,0.929281198,0.273193613,0.585480352,0.574890743,0.099573257,0.785093567
68,0.018533312,0.889276036,0.29950942,0.590431319,0.576082638,0.106685633,0.790775401
69,0.02332641,0.925022584,0.305753773,0.596867576,0.558998808,0.177809388,0.72159106
70,0.522607445,0.876500194,0.264124294,0.597981468,0.572506953,0.135135135,0.779411733
71,0.544016616,0.928765002,0.272896241,0.597610374,0.558204211,0.156472262,0.776738127
